"","C03-C","C03-R","C03-S","A33-C","A33-R","A33-S"
"CPXM1",587.84806555355,402.668396426886,448.937446334443,1364.32978102654,1348.57252034875,1229.97912018731
"TNR",3940.32812257181,5196.70156898094,4962.69863515876,2065.08616750768,2032.0955786077,2157.13032882766
"IRAK2",232.811115070713,247.341383968716,283.77280558424,55.2977828787838,75.6537747879923,54.965340109551
"ZBTB8B",1466.71002494549,1941.58765572712,1919.90038778088,682.641595538089,667.688547256816,770.551843422573
"ADAMTS9",144.342891343842,84.4168545968314,75.3771514833138,663.573394545405,408.178505832889,565.209629428402
"ZNF534",280.537393660209,351.174115122819,349.173569371233,31.4625316379287,74.774079732318,59.1136676649888
"GNAO1",19357.0801625544,22220.204466978,21832.7702296375,10538.9946886565,11638.3655865714,11446.2728073418
"MDM1",466.786285716779,475.266891380161,499.927872337861,1031.58967370421,1031.88230030599,1250.7207579645
"CRYBB2P1",337.576116852534,336.823249841357,346.956594327606,703.616616630042,818.116401777126,787.145153644324
"RPLP0P2",428.372451730112,646.633106211729,675.068900784384,163.986528537083,130.194868239801,168.007265995231
"SH3RF3",3644.65800643201,3493.16944321688,3431.87736753441,1943.04968115451,1748.83377068057,1598.14319073242
"LINC02864",168.788058426267,160.39202373398,280.4473430188,0,0,0
"FAM227A",367.841561811726,378.187508593805,390.18760767833,777.029190451875,803.161585830663,863.889213419924
"PCDHAC2",678.644400431128,825.596837957011,883.46455488531,284.116194790992,280.622722760111,333.940368212744
"GAS7",7560.5409619214,10628.0819937411,10998.4131914329,3992.88128786804,3769.4933135645,3768.75558411525
"RASL11B",252.600059851723,472.734385742256,441.178033681749,54.3443728291496,81.8116401777126,75.70697788674
"HES1",803.198346993959,587.541307993947,583.064436473869,2224.3056457966,1599.28561121593,2021.27260138707
"PCDHGA1",274.717115783441,205.1329566703,184.008928621031,49.5773225809785,40.4659725610192,47.7057668875348
"VWA5B1",55.8746676169711,25.3250563790494,37.6885757416569,266.954813897577,208.487728194816,359.86741543423
"PCDHB18P",169.95211400162,220.32799049773,209.50414162274,45.7636823824417,38.7065824496705,49.7799306652537
"ATRNL1",1926.51197721015,2284.32008539026,2285.70126997931,1056.3783349947,1018.68687447087,1095.15847463558
"TRDN",125.718002138185,333.446575657484,336.980206631285,26.6954813897577,27.2705467259042,28.0012109992052
"MOV10",438.848951908294,414.486756070442,440.069546159935,1022.05557320787,857.702679282471,996.635695193934
"PTPRO",4182.45168224536,4722.27884614675,4958.26468507151,1566.452711549,2047.93008960984,2129.12911782846
"LINC00643",420.224062702637,459.227689006763,493.27694720698,70.552343672931,80.9319451220383,142.080218773745
"SHISA9",1065.11085144851,1538.91925930024,1465.42050383737,182.101319480133,194.412607304027,396.165281544311
"ZNF300",913.783626652548,950.533782760322,1076.34138368085,2980.35981515652,2056.72704016658,2642.48465281388
"C8orf34",599.488621307086,1060.2756937362,1092.96869650805,126.803536601349,238.397360087743,160.747692773215
"PSD3",6104.30743715409,7448.09908107844,7196.30099161284,3427.50912843496,3222.32298893507,3605.93372756432
"CFAP43",57.0387231923246,60.7801353097186,42.1225258289107,205.936570720988,269.186687036345,342.237023323619
"DOCK5",29.1013893838391,13.506696735493,17.735800349015,150.638787842204,145.149684186264,137.931891218307
"LAMB1",1067.43896259922,1435.9306966921,1261.45879982369,3051.86556887908,3038.46672229913,2663.22629059107
"NHLH1",784.573457788302,531.826183960038,453.371396421696,2957.4779739653,1887.82558947711,2072.08961394119
"DPF1",4635.26930105789,5024.49118560341,5165.55185165062,2307.25232011477,2525.604504841,2750.34116925527
"FAHD1",1058.12651799639,933.650411840956,974.360531674012,434.754982633197,401.140945387494,486.391405875083
"CAP2",2507.37570931158,2762.96365095429,2797.82250505712,1473.97193673448,1252.68575928025,1297.38944296317
"KIF3C",16264.18449884,18349.6916837132,19478.3427333057,8755.16448579089,9580.75885134912,9696.71566083588
"KIF19",16.2967780549499,8.44168545968314,12.1933627399478,127.756946650983,116.999442404686,97.4856975527885
"KNTC1",765.948568582645,692.218207694018,608.559649475578,1745.69380088023,1455.01562208534,1915.49024872341
"COL6A2",434.192729606879,360.45996912847,451.154421378069,1135.51136911434,1564.97750404463,1047.45270774805
"EZH2",1814.76264197621,1636.84281063256,1500.8921045354,3345.51586416642,3130.83470314494,3206.65720035343
"FANCD2",388.79456216809,411.110081886569,375.777269894756,818.97923263578,802.281890774989,901.224161418864
"KCNJ9",1507.45197008287,2205.81241061521,2324.49833324278,721.731407573092,627.222574695797,742.550632423368
"IGFBPL1",8161.19363880384,6802.31014341268,7179.67367878564,15349.9017991107,16033.3220847203,13530.8074039493
"FAM81B",11.6405557535356,9.28585400565146,4.43395008725375,134.430816998423,87.0898105117586,103.708188885945
"ALPK1",403.927284647687,607.801353097186,532.07401047045,1410.09346340899,1329.21922912391,1316.05691696264
"IFITM2",25.6092226577784,21.1042136492079,27.712188045336,129.663766750252,135.473038573847,140.006054996026
"ZNF423",667.003844677592,465.136868828541,499.927872337861,1596.96183313729,1320.42227856717,1829.41245194807
"NRXN1",10191.3065622205,11841.9963628435,12003.8113737177,3892.77323265645,4785.54110286835,5544.23977784263
"NSG2",30000.040288012,34449.6741924209,36825.0639621642,10548.5287891528,13308.0268022413,15816.5358869955
"IGSF11",455.145729963244,425.46094716803,348.06508184942,143.01150744513,145.149684186264,146.228546329183
"DACH1",1434.11646883559,894.818658726413,978.794481761266,3842.24250002584,2965.45203267816,3213.91677357544
"CECR7",116.405557535356,131.690293171057,105.306314572277,20.9750210919525,12.3157307794406,12.4449826663134
"NCAPG",402.763229072333,204.288788124332,259.386080104345,1062.0987952925,1006.37114369143,1231.01620207617
"GLB1L2",814.838902747495,1122.74416613786,1131.76575977152,2536.07073202698,2759.60338965037,2317.87802160088
"NMNAT2",6921.47445105229,8335.32022289114,8845.73042407124,3315.00674257812,3950.71049503341,3862.0929541126
"RPS28P7",2495.73515355804,1883.34002605531,1909.92400008455,5595.56358130314,4544.50465761359,4824.50494697417
"IGSF21",1217.60213181983,1688.33709193663,1633.91060715301,204.029750621719,226.961324363977,467.723931875613
"FYB2",6.98433345212139,8.44168545968314,24.3867254798956,130.617176799886,165.382670466774,145.191464440323
"SCIN",3.49216672606069,6.75334836774651,8.86790017450751,298.417345535505,166.262365522448,66.3732408870049
"CEBPZOS",1237.39107660084,1405.54062903724,1315.77468839255,700.756386481139,663.290071978445,675.140309647503
"ARHGAP20",648.378955471935,1045.08065990877,1235.96358682198,103.921695410128,167.142060578123,243.714243881971
"GABRB2",3631.85339510312,5071.76462417763,4978.21746046415,1837.22116564511,1331.85831429093,1791.04042206027
"TRIM14",240.959504098188,297.147328180847,244.97574232077,83.9000843678099,79.1725550106897,74.6698959978806
"SNU13",4837.81497116941,4503.63919274096,4821.92071988846,2817.32669666907,2542.31871089881,2685.00501025712
"ADGRG2",166.45994727556,254.938900882431,248.30120488621,49.5773225809785,45.7441428950651,29.0382928880647
"PRDM16-DT",669.331955828299,469.357711558383,467.781734205271,1474.92534678411,1654.70639972341,1309.83442562949
"MITF",46.5622230141426,39.6759216605108,21.0612629144553,255.513893301966,204.089252916444,179.415166772685
"NPTX1",667.003844677592,971.63799640953,1043.08675802645,2834.48807756249,2595.98010929495,2211.05858704835
"CNIH3",408.583506949101,708.257410067416,723.842351744175,132.523996899154,129.315173184126,179.415166772685
