"","C03-R","C09-R","A33-R"
"MAPK6",4978.29081328987,3426.9132901584,4363.17062790145
"MAPK7",1485.01756207399,1013.75599007431,1700.47712865748
"MAPK8",7284.8675209219,3510.52203160783,6556.15191328548
"MAPK8IP1",4188.72824384748,3748.8069447387,2686.47639614827
"MAPK8IP2",6383.3169350747,3906.61844422449,3729.95099782445
"MAPK8IP3",10150.4432348099,5649.86070344505,7412.3362018403
"MAPK9",3175.18964159546,2317.00724741726,2383.24446061844
"MAPKAP1",1441.72807674103,1527.94974998829,1350.67035335673
"MAPKAPK2",1097.29434561361,1723.38518312632,1639.03797832137
"MAPKAPK3",325.612215765273,921.786374479937,594.572422607511
"MAPKAPK5",2061.89700792403,1877.01624553964,2143.43358350008
"MAPKAPK5-AS1",999.422465730404,987.628258371361,858.166196630174
"MAPKBP1",3676.78302599688,1676.35526606102,2340.63343699823
"MAPRE1",6885.85139524422,5886.05539803969,6334.17820884535
"MAPRE2",11323.9647176403,4903.65268600891,5850.5926384579
"MAPRE3",3914.87519532814,4457.3910285226,2736.02409803223
"MAPT",42172.4283962115,24722.0597373276,18975.7788675187
"MAPT-AS1",310.555003475549,102.420708275549,201.163669648874
"MAPT-IT1",112.929092172927,42.8494799928315,95.1315876172017
"MARCHF1",2671.71410565783,1461.06275682874,2053.25676607127
"MARCHF10",2.82322730432318,79.428304376956,9.90954037679184
"MARCHF11",30.1144245794472,71.0674302320133,25.7648049796588
"MARCHF2",745.332008341318,820.410775472506,657.993481018978
"MARCHF3",404.662580286322,345.931167747006,322.060062245735
"MARCHF4",7557.77949367314,2756.99824929487,4933.96015360466
"MARCHF5",2683.94809064323,2204.13544646053,2949.07921613325
"MARCHF6",20404.4048041117,10992.4592820635,21451.1820536413
"MARCHF7",3853.70527040113,3400.78555845546,4957.74305050896
"MARCHF8",1132.11414903359,1154.84574127022,1192.11770732806
"MARCHF9",1506.66230474047,1472.55895877804,1180.22625887591
"MARCKS",20264.1845146636,23175.2980205131,21224.2535790128
"MARCKSL1",32073.7443286475,27134.1719281435,26776.5690521292
"MARF1",3577.97007034557,2160.24085719958,3743.82435435196
"MARK1",7441.08609842778,3860.63363642731,3800.30873449967
"MARK2",2606.7798776584,2192.63924451123,2445.67456499223
"MARK3",6426.60642040765,5611.19166052469,6413.45453185968
"MARK4",5162.74166383898,3564.86771354996,3663.55707729994
"MARS1",4943.47100986988,4794.96132212466,4240.29232722923
"MARS2",458.303899068462,240.375131667104,365.662039903619
"MARVELD1",519.473823995464,1107.81582420491,583.67192819304
"MARVELD2",0.941075768107725,81.5185229131917,8.91858633911266
"MARVELD3",3.7643030724309,163.037045826383,21.8009888289421
"MASP1",1167.87502822169,3212.66589019425,4580.18956215319
"MASP2",436.659156401984,129.593549246612,407.282109486145
"MAST1",9899.17600472516,4959.04347721916,5273.85738852862
"MAST2",8304.99365355067,4877.52495430597,6989.19882775129
"MAST3",1140.58383094656,909.245063262523,819.518989160685
"MAST4",846.968191296953,1259.356668082,452.865995219387
"MASTL",317.142533852303,340.705621406416,493.495110764234
"MAT2A",6583.76607368164,5044.74243720482,8899.75821239675
"MAT2B",651.224431530546,1669.03950118419,1826.32829144274
"MATK",575.938370081928,409.682833102194,187.290313121366
"MATN2",110.105864868604,845.493397907334,188.281267159045
"MATR3",516.650596691141,210.066962891686,852.220472404099
"MAU2",2713.12143945457,2453.91656154069,2757.82508686117
"MAVS",2546.5510284995,2909.58420244007,3297.89503739633
"MAX",1838.86205088249,1513.31822023464,1699.4861746198
"MAZ",807.443009036428,821.455884740624,823.482805311402
"MB21D2",627.697537327853,490.156246747268,409.264017561503
"MBD1",3422.6925686078,2706.83300442521,3272.13023241667
"MBD2",566.52761240085,668.869931595419,615.382457398774
"MBD3",1576.30191158044,2172.78216841699,1784.70822186021
"MBD4",940.134692339617,739.937361827432,1077.16703895727
"MBD5",2068.48453830078,939.55323203794,2111.72305429434
"MBD6",724.628341442948,868.485801805927,1435.89240059714
"MBIP",809.325160572644,714.854739392604,1011.76407247045
"MBLAC1",147.748895592913,112.871800956727,65.4029664868262
"MBLAC2",1102.94080022225,488.066028211032,785.826551879593
"MBNL1",990.952783817434,796.373262305796,1023.6555209226
"MBNL1-AS1",34.8198034199858,20.9021853623568,32.7014832434131
"MBNL2",956.132980397449,811.004792059445,802.672770520139
"MBNL3",53.6413187821403,183.93923118874,198.190807535837
"MBOAT1",35.7608791880936,192.300105333683,62.4301043737886
"MBOAT2",5466.70913693777,4092.64789394947,5682.13045205244
"MBOAT7",2896.63121423558,3060.07993704904,2040.37436358144
"MBTD1",1872.74077853437,1385.81488952426,2530.89661223264
"MBTPS1",4307.30379062906,3568.00304135431,4800.18135851797
"MBTPS2",1052.12270874444,999.124460320657,975.098773076317
"MC1R",300.203170026364,168.262592166973,273.503314399455
"MC4R",34.8198034199858,39.714152188478,6.93667826375429
"MCAM",389.605367996598,1152.75552273398,455.838857332425
"MCAT",285.145957736641,716.94495792884,293.322395153039
"MCC",346.315882663643,772.335749139085,295.304303228397
"MCCC1",647.460128458115,679.321024276597,801.68181648246
"MCCC1-AS1",49.8770157097094,17.7668575580033,51.5296099593176
"MCCC2",691.690689559178,1367.00292269814,1297.15883532205
"MCEE",251.267230084763,258.141989225107,267.55759017338
"MCF2",353.844488808505,262.322426297578,160.534554104028
"MCF2L",6953.60885054798,2887.6369078096,5251.065445662
"MCF2L-AS1",36.7019549562013,64.7967746233062,40.6291155448466
"MCF2L2",830.969903239121,296.811032145467,174.407910631536
"MCFD2",2531.49381620978,3353.75564139015,2514.05039359209
"MCHR1",1.88215153621545,137.954423391555,7.92763230143348
"MCIDAS",0,85.698959985663,30.7195751680547
"MCL1",7312.15871819702,7262.46430415088,10124.5774029682
"MCM10",64.934227999433,204.841416551097,378.544442393448
"MCM2",489.359399416017,948.959215451,1346.70653720601
"MCM3",638.990446545145,1712.93409044514,1811.46398087755
"MCM3AP",3034.02827637931,1531.08507779264,2837.1014098755
"MCM3AP-AS1",540.177490893834,238.284913130868,643.129170453791
"MCM4",1810.62977783926,2603.36718688154,3407.89093557872
"MCM5",248.444002780439,899.839079849462,1130.67855699195
"MCM6",2289.6373438061,1890.60266602518,3192.85390940233
"MCM7",2843.93097122154,3708.0476832821,5074.6756269551
"MCM8",284.204881968533,230.969148254043,364.67108586594
"MCM9",145.866744056697,182.894121920622,276.476176512492
"MCMBP",1936.7339307657,1747.42269629303,2199.91796364779
"MCMDC2",34.8198034199858,21.9472946304747,34.6833913187715
"MCOLN1",658.753037675408,520.464415522685,419.173557938295
"MCOLN3",0,58.5261190145992,9.90954037679184
"MCPH1",1577.24298734855,1020.02664568301,1421.02809003195
"MCPH1-AS1",437.600232170092,356.382260428184,515.296099593176
"MCPH1-DT",257.854760461517,330.254528725238,211.073210025666
"MCRIP1",3274.94367301488,4413.49643926165,2957.00684843469
"MCRIP2",315.260382316088,861.170036929102,332.960556660206
"MCRS1",1164.11072514926,1467.33341243745,1203.01820174253
"MCTP1",821.559145558044,593.622064290934,592.590514532152
"MCTS1",5379.18909050376,2642.0362298019,4820.99139330923
"MCU",833.793130543444,1010.62066226995,785.826551879593
"MCUB",588.172355067328,867.440692537809,691.685918300071
"MCUR1",2352.68942026931,1290.70994612553,1971.99853498158
"MDC1",1904.73735465004,1327.28877050966,2060.19344433502
"MDFI",421.601944112261,1521.67909437958,958.252554435771
"MDFIC",159.041804810206,619.74979599388,574.753341853927
"MDGA1",914.725646600709,1225.91317150223,730.333125769559
"MDGA2",575.938370081928,316.668108239706,145.67024353884
"MDH1",4975.46758598554,5925.76955022816,3958.86138052834
"MDH1B",37.643030724309,382.50999213113,38.6472074694882
"MDH2",5844.08051994897,7842.49994795629,5439.34671282104
"MDK",2071.3077656051,8142.44630790611,4789.2808641035
"MDM1",529.825657444649,781.741732552146,1162.38908619768
"MDM2",2367.74663255904,3180.26750288259,3279.06691068042
"MDM4",3193.07008118951,2585.60032932354,4091.64922157735
"MDN1",4148.26198581885,1241.589810524,3389.06280886281
"ME1",1.88215153621545,57.4810097464813,9.90954037679184
"ME2",3892.28937689355,3752.98738181117,4140.20596942363
"ME3",71.5217583761871,177.668575580033,109.00494414471
"MEA1",1284.56842346704,1583.34054119853,1056.35700416601
"MEAF6",5064.86978395578,4666.41288214616,4206.59988994814
"MEAK7",942.95791964394,682.456352080951,812.582310896931
"MECOM",0,136.909314123437,31.7105292057339
"MECP2",5639.8670782696,3682.96506084728,5721.76861355961
"MECR",743.449856805103,935.372794965469,640.156308340753
"MED1",2257.64076769043,1235.31915491529,2332.7058046968
"MED10",1851.0960358679,1371.18335977061,1672.73041560246
"MED11",81.8735918253721,135.864204855319,122.878300672219
